DESHARNAIS

4

$TEAMEXP,$MANAGEREXP,$YEAREND,$LENGTH,$TRANSACTIONS,$ENTITIES,$POINTSNONADJUST,$ADJUSTMENT,$POINTSADJUST,$LANGUAGE,$EFFORT
0.504587155963,1.00917431193,85.747706422,7.53211009174,169.5,135.605504587,305.105504587,33.252293578,299.862385321,1,5520.20642202
21/10,53/20,1731/20,191/20,604/5,969/20,677/4,171/10,2799/20,49/20,3819/4

1.1038961039,1.15584415584,86.0519480519,9.05194805195,142.714285714,38.987012987,181.701298701,26.0649350649,165.350649351,2.94805194805,733.116883117
2.1186440678,2.8813559322,86.8813559322,26.2288135593,173.118644068,328.737288136,501.855932203,20.0677966102,426.194915254,1,14332.1440678
3.31481481481,1.68518518519,85.6851851852,18.4537037037,174.314814815,295.842592593,470.157407407,30.8333333333,448.324074074,1,7729.87962963
81/35,81/35,3009/35,151/35,3156/35,3762/35,6918/35,573/35,5587/35,58/35,3064

13/12,13/12,673/8,37/12,293/8,297/4,887/8,113/6,2221/24,25/24,27979/12

3.7349726776,4,85.5300546448,15.4699453552,87.6420765027,227.245901639,314.887978142,25.4098360656,283.407103825,1.2650273224,6521.05464481
3.26428571429,4,86.4714285714,14.5285714286,37.2785714286,328.914285714,366.192857143,22.5857142857,319.65,1.73571428571,5222.9
11/8,9/4,347/4,9/2,279/4,361/8,919/8,193/8,409/4,15/8,18641/8

2.94285714286,3.29523809524,85.7047619048,2.40952380952,51.980952381,54.0095238095,105.99047619,20.4666666667,90.7523809524,1.35238095238,1419.2
3,5.80487804878,84.8048780488,9.41463414634,58.1463414634,247.967479675,306.113821138,19.1869918699,251.601626016,1.60162601626,5917.44715447
3,23/5,418/5,29/5,357/5,539/5,896/5,112/5,762/5,6/5,3584

3.01923076923,4.67307692308,86.6538461538,18.8076923077,376.076923077,172.076923077,548.153846154,23.3846153846,492.980769231,2.32692307692,6401.90384615
1.91791044776,4.30597014925,87.3880597015,10.7313432836,257.134328358,110.402985075,367.537313433,20.447761194,322.276119403,2.69402985075,3372.17164179
1,83/70,3019/35,341/35,5625/14,1706/35,31537/70,1921/70,2923/7,1,44887/10

1,1.74210526316,84.0315789474,11.9684210526,254.342105263,50.9684210526,305.310526316,25.7736842105,278.473684211,1,4095.33157895
1,299/112,9669/112,411/56,2327/16,8459/112,6187/28,449/16,24119/112,2,47175/16

1,2.18027210884,86.8197278912,6.36054421769,73.5,43.7176870748,117.217687075,17.7857142857,103.282312925,2,1944.73809524
4,3.22875816993,85.2287581699,11.6862745098,116.588235294,211.111111111,327.699346405,43.908496732,352.993464052,1.22875816993,10676.6470588
4,15/4,343/4,53/4,335/4,282,1463/4,111/4,1339/4,7/4,23135/4

1.07070707071,2.85858585859,85.9292929293,11.7878787879,131.080808081,85.6767676768,216.757575758,6.41414141414,154.292929293,2,3570.77777778
1.66470588235,1.67058823529,85.3352941176,10.0058823529,123.358823529,57.7588235294,181.117647059,18.2941176471,148.352941176,2,2930.44705882
11/6,9/4,85,25/4,542/3,157/2,1555/6,135/4,1025/4,1,65695/12

149/60,129/40,85,289/40,2554/15,275/4,14341/60,1311/40,9353/40,1,569863/120

1.09433962264,1.04716981132,86,5.04716981132,79.0849056604,96.4528301887,175.537735849,14.0471698113,138.91509434,1.04716981132,2489.62264151
2.51773049645,1.75886524823,86,5.75886524823,95.4539007092,58.0212765957,153.475177305,14.7588652482,122.546099291,1.75886524823,2031.29078014
2.25263157895,3.49473684211,86.4947368421,13.2315789474,271.463157895,149.642105263,421.105263158,32.7263157895,417.315789474,2,8899.35789474
2.75155279503,2.49689440994,85.4968944099,9.73913043478,169.683229814,81.7888198758,251.472049689,28.2360248447,240.198757764,2,4037.86956522
3.19417475728,4,84.0145631068,18.7621359223,352.291262136,150.694174757,502.985436893,35.1650485437,509.825242718,1.80582524272,6262.45145631
2.264,4,86.34,12.716,302.992,101.86,404.852,29.584,386.112,2.736,2502.22
1.88125,4,85.88125,5.83125,299.70625,122.5,422.20625,36.64375,429.78125,1,5701.01875
1.29104477612,4,85.2910447761,9.96268656716,268.425373134,75.2835820896,343.708955224,34.8731343284,344.201492537,1,5333.32089552
1.90957446809,2.69680851064,86,5.69680851064,46.8510638298,31.9095744681,78.7606382979,27.6063829787,72.7606382979,1.69680851064,1137.53723404
3.47222222222,2.17592592593,86,5.17592592593,55.1851851852,33.4722222222,88.6574074074,28.6481481481,82.6574074074,1.17592592593,915.12037037
4,23/20,869/10,389/20,5999/20,1603/20,3801/10,769/20,7863/20,1,10297

4,2.605,85.93,14.115,260.665,101.005,361.67,33.115,355.805,1,7581
12/7,22/7,590/7,12,901/7,72,1405/7,12,1089/7,15/7,2028

0.605042016807,3.6974789916,85.3949579832,8.11764705882,108.193277311,52.5882352941,160.781512605,8.11764705882,118.966386555,2.6974789916,1069.05882353
3.8273381295,3.48201438849,85.8273381295,12,292.791366906,237.748201439,530.539568345,33.309352518,523.330935252,1.8273381295,13743.8201439
44/13,28/13,1110/13,12,2966/13,2049/13,5015/13,410/13,4881/13,18/13,137697/13

29/13,133/52,4339/52,243/26,5741/26,73,7639/26,281/13,6641/26,49/26,94885/52

1.22522522523,2.30630630631,83.6936936937,7.83783783784,217.288288288,73,290.288288288,14.5765765766,231.792792793,2.38738738739,1270.40540541
98/29,3,85,250/29,2355/29,2417/29,4772/29,995/29,4644/29,1,139818/29

473/126,3,85,1039/126,2797/42,7433/126,7912/63,356/9,386/3,1,23027/6

4,3.19708029197,85.802919708,12,421.700729927,174.620437956,596.321167883,42.2116788321,641.226277372,3,4997.08029197
4,119/32,2729/32,12,593/2,5471/32,14959/32,321/8,15795/32,3,2660

3.56153846154,4,85.4384615385,35.5615384615,836.673076923,217.103846154,1053.77692308,31.5884615385,1024.36153846,1.43846153846,19207.2461538
22/9,4,779/9,310/9,711,1406/9,7805/9,229/9,7118/9,23/9,21448/3

1.1511627907,0.720930232558,86.5697674419,7.13953488372,182.127906977,137.11627907,319.244186047,25.2906976744,286.860465116,1,5063.68604651
2.85638297872,2.08510638298,86.2287234043,6.45744680851,120.39893617,131.659574468,252.058510638,26.3138297872,228.882978723,1,4383.30319149
67/49,178/49,4227/49,8,5752/49,2314/49,8066/49,542/49,6163/49,80/49,2579

1.73714285714,3.26285714286,85.5257142857,8,110.731428571,42.4171428571,153.148571429,8.10285714286,112.462857143,1.26285714286,2434.04
0.544303797468,2.8417721519,85.6139240506,29.3481012658,231.493670886,266.291139241,497.784810127,45.753164557,552.392405063,1,13864.6518987
2.10447761194,1.67164179104,85.223880597,19.5970149254,178.447761194,302.955223881,481.402985075,41.4626865672,513.388059701,1,7773.34328358
3/4,3/4,347/4,10,70,377/4,657/4,23,291/2,1,5285/2

4/41,4/41,3530/41,196/41,3833/41,3677/41,7510/41,1478/41,7624/41,1,114709/41

1.94186046512,2.37209302326,85.3720930233,18.2558139535,269.906976744,112.720930233,382.627906977,30.8604651163,370.779069767,1.68604651163,7543.88372093
65/17,19/17,1430/17,353/17,2989/17,1703/17,276,418/17,4224/17,18/17,74207/17

11/15,1/10,1282/15,451/30,4027/30,1628/15,7283/30,418/15,1327/6,71/30,8204/3

29/18,17/12,785/9,241/36,4627/36,1211/18,7049/36,314/9,6935/36,101/36,23233/18

55/43,55/86,86,1145/86,8105/43,10619/86,26829/86,2855/86,26333/86,1,243572/43

0.128712871287,0.0643564356436,86,5.83663366337,198.841584158,119.45049505,318.292079208,30.3217821782,303.321782178,1,4013.7029703
29/20,29/20,1723/20,231/20,1457/20,1069/10,719/4,327/20,1497/10,43/20,62979/20

3.55789473684,3.55789473684,86.8526315789,9.44210526316,156.463157895,83.0105263158,239.473684211,36.7263157895,246.663157895,2.85263157895,2553.82105263
2.69014084507,3.15492957746,87.6901408451,14.7605633803,269,153.521126761,422.521126761,49.0563380282,485.816901408,1.84507042254,7419.90140845
8/5,37/10,433/5,52/5,1529/10,367/2,1682/5,387/10,355,13/10,52031/10

1,1,1637/19,225/19,2301/19,3907/38,8509/38,440/19,7493/38,73/38,54466/19

1,1,87.5057471264,10.4942528736,79.3218390805,67.0977011494,146.41954023,24.5057471264,130.465517241,1.24712643678,2359.83908046
2.34246575342,2.65753424658,85,16.4863013699,197.883561644,139.664383562,337.547945205,34.6575342466,336.520547945,1,12504.2054795
358/95,117/95,85,1363/95,1931/19,20651/95,30306/95,3157/95,29802/95,1,84910/19

2.575,1.3,86.7125,10.8625,179.4375,99.65,279.0875,23.975,252.65,1.7125,5293.75
3.43636363636,4.74545454545,86.2818181818,12.1545454545,112.681818182,84.1454545455,196.827272727,17.9454545455,168.236363636,1.28181818182,3062.81818182
2,1.55384615385,87.5538461538,8.33076923077,211.623076923,57.8615384615,269.484615385,30.0076923077,256.838461538,1,3900.93846154
2,5/12,1037/12,53/8,2609/24,375/2,7109/24,281/8,7133/24,1,14553/4

2.73021582734,3,85,6.26978417266,94.0935251799,55.2050359712,149.298561151,28.2230215827,137.744604317,1,3096.34172662
2.26369863014,3,85,6.73630136986,108.089041096,65.9349315068,174.023972603,21.6917808219,149.407534247,1,3027.76369863
1.40425531915,2.10638297872,86,18.0425531915,373.808510638,155.787234043,529.595744681,35.2340425532,545.021276596,1.70212765957,10371.6170213
0.548387096774,0.822580645161,86,9.48387096774,231.306451613,118.129032258,349.435483871,28.3870967742,339.612903226,1.27419354839,5360.08064516
3.30769230769,4,85.6923076923,35.3076923077,808.115384615,203.269230769,1011.38461538,30.1923076923,971.307692308,1.69230769231,16467.2307692
2.34666666667,4,86.6533333333,34.3466666667,700,150.893333333,850.893333333,24.9066666667,770.453333333,2.65333333333,6093.92
19/10,19/5,1701/20,173/10,1869/20,1677/10,5223/20,679/20,258,1,20811/4

7/13,14/13,2229/26,101/13,4359/26,1773/13,7905/26,865/26,3885/13,1,11025/2

2.01587301587,2.52380952381,86.5079365079,9.50793650794,122.650793651,47.6507936508,170.301587302,17.8571428571,142.095238095,2.49206349206,936.031746032
1.4347826087,1.65217391304,86.2173913043,9.21739130435,135.434782609,42.1304347826,177.565217391,23.0869565217,156.913043478,2.78260869565,806.739130435
25/9,20/9,776/9,395/18,1564/9,5591/18,8719/18,26,7891/18,1,192493/18

37/11,18/11,942/11,399/22,1918/11,589/2,10315/22,344/11,9883/22,1,164129/22

2.56962025316,2.56962025316,86.3544303797,4.56962025316,101.278481013,114.379746835,215.658227848,15.8607594937,173.544303797,1.78481012658,3215.92405063
1.85964912281,1.85964912281,85.2894736842,3.85964912281,70.3947368421,95.2105263158,165.605263158,17.2807017544,134.850877193,1.4298245614,2793.49122807
3.824,4,85.352,15.648,97.168,208.016,305.184,25.944,276.552,1.176,6766.592
3.35555555556,4,86.2888888889,14.7111111111,47.0444444444,309.2,356.244444444,23.1333333333,312.622222222,1.64444444444,5474.62222222
1.61956521739,2.41304347826,86.5869565217,4.17391304348,66.9782608696,46.5108695652,113.489130435,23.5543478261,100.456521739,1.79347826087,2188.0326087
3.1976744186,3.46511627907,85.5348837209,2.06976744186,49.0930232558,55.4534883721,104.546511628,19.8720930233,88.8837209302,1.26744186047,1271.15116279
3,299/44,3775/44,545/44,189/4,15981/44,4515/11,182/11,14659/44,85/44,172389/22

3,4.30530973451,83.3053097345,4.91592920354,74.6415929204,73.517699115,148.159292035,23.185840708,128.137168142,1.1017699115,3013.28318584
2.77876106195,4.59292035398,86.814159292,17.0442477876,350.10619469,158.610619469,508.716814159,22.7433628319,455.707964602,2.40707964602,5740.37168142
1.39252336449,4.1308411215,87.738317757,6.8785046729,200.392523364,80.9813084112,281.373831776,19.046728972,240.841121495,2.8691588785,1926.8317757
1,107/86,3699/43,429/43,33221/86,2106/43,37433/86,2345/86,17327/43,1,382473/86

1,1.83522727273,83.6590909091,12.3409090909,229.664772727,51.3409090909,281.005681818,25.4943181818,255.193181818,1,4029.49431818
1,2.78484848485,86.2151515152,7.5696969697,162.372727273,83.0151515152,245.387878788,30.4818181818,241.73030303,2,3184.72424242
1,2.37596899225,86.6240310078,6.7519379845,102.26744186,56.4379844961,158.705426357,21.8953488372,148.096899225,2,2346.1124031
4,3.26335877863,85.2633587786,11.7900763359,114.408396947,215.816793893,330.22519084,42.8358778626,351.782442748,1.26335877863,10351.851145
4,3.57826086957,85.5782608696,12.7347826087,94.5695652174,258.643478261,353.213043478,33.0739130435,340.760869565,1.57826086957,7395.86521739
1.33712121212,2.32575757576,85.6628787879,10.9886363636,127.617424242,73.1553030303,200.772727273,11.7424242424,151.628787879,2,3283.58333333
41/22,14/11,1873/22,207/22,2657/22,1065/22,1861/11,245/11,1610/11,2,2716

135/89,158/89,85,514/89,16530/89,7409/89,23939/89,3046/89,23778/89,1,518686/89

35/17,44/17,85,112/17,3010/17,1277/17,4287/17,568/17,4224/17,1,88788/17

1.51764705882,1.25882352941,86,5.25882352941,83.9529411765,85.0235294118,168.976470588,14.2588235294,134.047058824,1.25882352941,2353.31764706
2.63461538462,1.81730769231,86,5.81730769231,96.7980769231,54.8653846154,151.663461538,14.8173076923,121.201923077,1.81730769231,1993.65384615
25/11,38/11,951/11,144/11,2941/11,1616/11,4557/11,358/11,4512/11,2,95739/11

2.99333333333,2.01333333333,85.0133333333,8.04666666667,120.36,48.9066666667,169.266666667,26.06,154.366666667,2,1681.96
3.29787234043,4,83.7553191489,19.4361702128,357.787234043,156.138297872,513.925531915,35.7872340426,523.617021277,1.70212765957,6681.64893617
78/35,4,605/7,437/35,10539/35,100,14039/35,1028/35,1907/5,97/35,2359

1.69083969466,4,85.6908396947,7.1641221374,289.614503817,107.267175573,396.881679389,36.072519084,402.171755725,1,5582.39312977
71/57,4,4859/57,586/57,15163/57,4084/57,1013/3,660/19,19244/57,1,302386/57

44/23,62/23,86,131/23,1078/23,734/23,1812/23,635/23,1674/23,39/23,26152/23

3.06796116505,2.31067961165,86,5.31067961165,53.0291262136,33.067961165,86.0970873786,28.3786407767,80.0970873786,1.31067961165,972.660194175
4,7/3,775/9,136/9,268,874/9,3286/9,307/9,3265/9,1,72793/9

4,3.13294797688,85.5780346821,12.1791907514,246.410404624,108.572254335,354.98265896,31.1791907514,342.25433526,1,6595.49710983
1.38620689655,3.30689655172,84.6137931034,10.8517241379,122.644827586,66.2586206897,188.903448276,10.8517241379,144.744827586,2.30689655172,1744.37586207
0.93023255814,3.53488372093,85.0697674419,9.25581395349,114.209302326,58.2790697674,172.488372093,9.25581395349,129.697674419,2.53488372093,1350.18604651
3.78248587571,3.34745762712,85.7824858757,12,286.242937853,229.629943503,515.872881356,33.1299435028,508.350282486,1.78248587571,13424.5169492
3.27651515152,1.82954545455,85.2765151515,12,212.371212121,138.049242424,350.420454545,31.1060606061,339.356060606,1.27651515152,9822.51136364
3.46902654867,2.86725663717,83.1327433628,11.203539823,225.14159292,73,298.14159292,30.2831858407,284.522123894,1.26548672566,2507.30088496
1.04255319149,2.26063829787,83.7393617021,7.56382978723,216.64893617,73,289.64893617,13.2978723404,227.5,2.47872340426,1169.70744681
253/78,3,85,683/78,173/2,553/6,536/3,1264/39,2230/13,1,134617/26

469/130,3,85,1091/130,723/10,137/2,704/5,2438/65,9162/65,1,109767/26

4,171/52,4457/52,12,5197/13,9047/52,2295/4,544/13,31999/52,3,59640/13

4,3.84955752212,85.1504424779,12,265.10619469,170.053097345,435.159292035,39.6017699115,456.575221239,3,2073.98230088
3.40845070423,4,85.5915492958,35.4084507042,819.450704225,208.76056338,1028.21126761,30.7464788732,992.366197183,1.59154929577,17554.8169014
33/14,4,1213/14,481/14,19633/28,4241/28,11937/14,699/28,10817/14,37/14,6207

1.34042553191,0.872340425532,86.5319148936,7.06382978723,175.276595745,136.510638298,311.787234043,25.4042553191,280.425531915,1,4988.17021277
121/64,21/16,5531/64,219/32,9943/64,539/4,18567/64,1647/64,8375/32,1,305193/64

101/81,304/81,7007/81,8,1076/9,3952/81,13636/81,974/81,1171/9,142/81,212723/81

84/53,181/53,4549/53,8,6014/53,2353/53,8367/53,494/53,6251/53,75/53,132167/53

-0.0841121495327,3.31308411215,85.7710280374,33.2757009346,252.859813084,251.523364486,504.38317757,47.4813084112,568.102803738,1,16318.1448598
1.99236641221,1.75572519084,85.2519083969,20.2977099237,182.259541985,300.320610687,482.580152672,41.7709923664,516.190839695,1,8211.05343511
0.848214285714,0.848214285714,86.8482142857,10.7857142857,66.4642857143,94.9375,161.401785714,21.0357142857,139.410714286,1,2619.125
3/13,3/13,1121/13,76/13,1153/13,1178/13,2331/13,434/13,2310/13,1,35959/13

2.13736263736,2.24175824176,85.2417582418,18.5164835165,260.131868132,111.417582418,371.549450549,30.2087912088,358.071428571,1.62087912088,7213.61538462
269/80,57/40,3377/40,403/20,1591/8,413/4,2417/8,209/8,4455/16,97/80,102879/20

7/16,-11/32,679/8,571/32,4357/32,1959/16,8275/32,51/2,7385/32,71/32,51541/16

1.57342657343,1.36013986014,87.1468531469,7.05244755245,128.772727273,69.048951049,197.821678322,34.5874125874,193.863636364,2.78671328671,1352.71328671
7/6,7/12,86,151/12,379/2,1477/12,3751/12,395/12,3671/12,1,33019/6

0.887323943662,0.443661971831,86,10.7676056338,192.014084507,122.105633803,314.11971831,32.2183098592,305.218309859,1,5102.30985915
1.95192307692,1.95192307692,86.3173076923,11.0480769231,92.7596153846,101.211538462,193.971153846,21.2019230769,172.788461538,2.31730769231,3007.24038462
3.16363636364,3.16363636364,86.7212121212,9.83636363636,140.824242424,87.4787878788,228.303030303,32.9151515152,228.527272727,2.72121212121,2665.13333333
2.575,3.2125,87.575,14.3,256.7375,156.6875,413.425,47.9625,472,1.7875,7185.7625
1.57407407407,3.71296296296,86.5740740741,10.2962962963,150.138888889,184.212962963,334.351851852,38.4537037037,351.888888889,1.28703703704,5150.37962963
1,1,5258/61,720/61,7314/61,6209/61,13523/61,1415/61,11911/61,116/61,173974/61

1,1,2971/34,361/34,2827/34,4785/68,10439/68,829/34,9287/68,89/68,40906/17

13/6,17/6,85,67/4,839/4,1561/12,2039/6,209/6,1018/3,1,80969/6

39/11,16/11,85,323/22,2567/22,4515/22,3541/11,368/11,3490/11,1,62979/11

2.82407407407,2.2962962963,86.587962963,11.2361111111,160.134259259,95.1666666667,255.300925926,22.2314814815,228.240740741,1.58796296296,4648.64814815
155/42,121/21,7237/84,351/28,7811/84,557/7,14495/84,97/6,430/3,97/84,7214/3

2,77/48,4205/48,269/32,20753/96,417/8,25757/96,953/32,24485/96,1,62601/16

2,0.351063829787,86.3510638298,6.52659574468,102.771276596,194.978723404,297.75,35.420212766,299.537234043,1,3623.09574468
100/39,3,85,251/39,1288/13,2302/39,6166/39,1010/39,5534/39,1,39935/13

66/31,3,85,213/31,3476/31,2140/31,5616/31,614/31,4736/31,1,93247/31

1.54945054945,2.32417582418,86,19.4945054945,397.983516484,162.175824176,560.159340659,36.3956043956,579.868131868,1.77472527473,11221.8076923
21/23,63/46,86,302/23,13433/46,3086/23,19605/46,720/23,9824/23,67/46,344785/46

3.29787234043,4,85.7021276596,35.2978723404,807.010638298,202.734042553,1009.74468085,30.1382978723,969.255319149,1.70212765957,16361.2340426
2.51376146789,4,86.4862385321,34.5137614679,718.798165138,160,878.798165138,25.8256880734,805.376146789,2.48623853211,7897.5412844
1.66304347826,3.32608695652,85.1684782609,15.6413043478,106.364130435,162.25,268.614130435,33.8315217391,265.108695652,1,5256.6576087
0.661870503597,1.32374100719,85.6690647482,8.63309352518,160.928057554,139.223021583,300.151079137,33.3309352518,295.143884892,1,5484.42446043
2.42537313433,3.13805970149,86.7126865672,9.71268656716,113.641791045,51.5410447761,165.182835821,14.171641791,131.652985075,2.28731343284,1027.14552239
1.98550724638,2.47826086957,86.4927536232,9.49275362319,123.31884058,47.3623188406,170.68115942,18.1304347826,142.869565217,2.50724637681,929.275362319
50/19,45/19,1641/19,435/19,3299/19,5978/19,9277/19,469/19,8278/19,1,11501

3.09677419355,1.90322580645,85.9032258065,19.8709677419,174.096774194,301.838709677,475.935483871,28.8709677419,444.290322581,1,8933.35483871
2.49122807018,2.49122807018,86.2368421053,4.49122807018,97.8684210526,112.263157895,210.131578947,16.0175438596,169.271929825,1.74561403509,3169.28070175
46/27,46/27,1531/18,100/27,1145/18,91,2783/18,475/27,6823/54,73/54,72919/27

3.69607843137,4,85.6078431373,15.3921568627,83.4803921569,235.647058824,319.12745098,25.1764705882,286.401960784,1.30392156863,6413.78431373
3.24778761062,4,86.5044247788,14.4955752212,35.5132743363,332.477876106,367.991150442,22.4867256637,320.920353982,1.75221238938,5177.39823009
2.35849056604,2.90566037736,86.0943396226,3.18867924528,58.6037735849,50.6981132075,109.301886792,21.8301886792,95.0377358491,1.54716981132,1758.71698113
3.38846153846,3.59230769231,85.4076923077,1.81538461538,46.9307692308,56.5346153846,103.465384615,19.4269230769,87.4846153846,1.20384615385,1160.30384615
3,6.50684931507,85.5068493151,11.5205479452,50.4246575342,329.630136986,380.054794521,17.3150684932,309.397260274,1.83561643836,7276.93150685
3,5.41,84.41,8.23,62.49,202.03,264.52,20.24,219.09,1.47,5152.7
3.28947368421,4.76315789474,86.4736842105,20.7894736842,405.263157895,187.210526316,592.473684211,24.1052631579,534.868421053,2.23684210526,7145.34210526
1.43243243243,4.14414414414,87.7117117117,7.17117117117,204.702702703,83.2162162162,287.918918919,19.1531531532,247.027027027,2.85585585586,2036.62162162
1,1.27814569536,85.8874172185,10.1125827815,377.291390728,49.1125827815,426.40397351,27.1655629139,394.463576159,1,4423.35099338
1,1.70779220779,84.1688311688,11.8311688312,263.435064935,50.8311688312,314.266233766,25.8766233766,287.051948052,1,4119.59090909
1,214/77,6639/77,582/77,1777/11,6364/77,18803/77,334/11,18514/77,2,34905/11

1,87/40,3473/40,127/20,2909/40,347/8,1161/10,707/40,4083/40,2,77357/40

4,3.45544554455,85.4554455446,12.3663366337,102.306930693,241.940594059,344.247524752,36.8811881188,345.059405941,1.45544554455,8548.73267327
4,3.66336633663,85.6633663366,12.9900990099,89.2079207921,270.217821782,359.425742574,30.4356435644,337.782178218,1.66336633663,6596.98019802
1.3606557377,2.27868852459,85.6393442623,10.9180327869,127.31147541,72.0491803279,199.360655738,12.2131147541,151.393442623,2,3258.21311475
29/16,11/8,1363/16,153/16,1943/16,813/16,689/4,85/4,1175/8,2,22169/8

13/7,16/7,85,44/7,1262/7,547/7,1809/7,236/7,1788/7,1,5448

2.60330578512,3.40495867769,85,7.40495867769,168.347107438,66.9504132231,235.297520661,32.5950413223,229.685950413,1,4614.90909091
5/3,4/3,86,16/3,257/3,81,500/3,43/3,397/3,4/3,6916/3

9/4,13/8,86,45/8,739/8,261/4,1261/8,117/8,1005/8,13/8,4235/2

19/9,34/9,781/9,128/9,901/3,1520/9,4223/9,34,4208/9,2,30835/3

2.66044776119,2.67910447761,85.6791044776,10.3768656716,188.268656716,94.1791044776,282.447761194,29.0559701493,272.541044776,2,4925.59701493
3.89795918367,4,82.2551020408,23.3367346939,389.591836735,187.642857143,577.234693878,39.387755102,603.428571429,1.10204081633,9107.5
2.34146341463,4,86.1463414634,13.2195121951,307.097560976,105.926829268,413.024390244,30.0487804878,396.414634146,2.65853658537,2815.36585366
1.89732142857,4,85.8973214286,5.71875,300.558035714,123.785714286,424.34375,36.6919642857,432.111607143,1,5711.03125
79/55,4,4699/55,492/55,15187/55,956/11,19967/55,1942/55,4018/11,1,298312/55

1.91463414634,2.69512195122,86,5.69512195122,46.8780487805,31.9146341463,78.7926829268,27.6097560976,72.7926829268,1.69512195122,1136.81707317
3.98275862069,2.00574712644,86,5.00574712644,57.908045977,33.9827586207,91.8908045977,28.9885057471,85.8908045977,1.00574712644,842.454022989
4,67/49,4251/49,914/49,14410/49,4080/49,18490/49,1845/49,2713/7,1,69239/7

4,3.03097345133,85.6460176991,12.5530973451,249.163716814,107.110619469,356.274336283,31.5530973451,344.871681416,1,6785.84955752
1.91891891892,3.04054054054,84.0810810811,12.7162162162,132.5,75.5810810811,208.081081081,12.7162162162,162.324324324,2.04054054054,2204.90540541
0.455284552846,3.77235772358,85.5447154472,7.59349593496,105.422764228,49.9674796748,155.390243902,7.59349593496,114.024390244,2.77235772358,939.593495935
43/12,11/4,1027/12,12,1543/6,2323/12,1803/4,97/3,2651/6,19/12,48027/4

3.22641509434,1.67924528302,85.2264150943,12,205.056603774,128.981132075,334.037735849,30.9056603774,322.622641509,1.22641509434,9465.8490566
36/17,43/17,1419/17,156/17,3747/17,73,4988/17,354/17,4297/17,33/17,29960/17

0.254545454545,2.06363636364,83.9363636364,6.38181818182,213.890909091,73,286.890909091,7.78181818182,208.981818182,2.87272727273,735.318181818
3.29934210526,3,85,8.70065789474,84.3256578947,88.5427631579,172.868421053,33.1907894737,166.855263158,1,5031.22697368
205/56,3,85,467/56,3933/56,3643/56,947/7,153/4,273/2,1,32661/8

4,3.30479452055,85.6952054795,12,395.849315068,173.866438356,569.715753425,41.7808219178,610.743150685,3,4514.52054795
4,569/156,13315/156,12,4077/13,26749/156,5821/12,1576/39,80149/156,3,116200/39

3.14141414141,4,85.8585858586,35.1414141414,789.409090909,194.207070707,983.616161616,29.2777777778,936.555555556,1.85858585859,14672.4242424
37/14,4,1209/14,485/14,20533/28,4677/28,12605/14,743/28,11653/14,33/14,9291

0.629464285714,0.303571428571,86.6741071429,7.34821428571,201.013392857,138.785714286,339.799107143,24.9776785714,304.598214286,1,5271.84375
147/68,26/17,5873/68,229/34,9897/68,2276/17,19001/68,1761/68,505/2,1,316911/68

30/23,85/23,1987/23,8,2726/23,1105/23,3831/23,266/23,2945/23,39/23,59885/23

1.55154639175,3.44845360825,85.8969072165,8,114.072164948,44.8298969072,158.902061856,9.58762886598,119.144329897,1.44845360825,2506.79381443
0.681818181818,2.73863636364,85.5795454545,28.4886363636,226.818181818,269.522727273,496.340909091,45.375,548.954545455,1,13327.7613636
2.43703703704,1.42222222222,85.1407407407,17.5185185185,167.140740741,310.77037037,477.911111111,40.5481481481,505.074074074,1,6474.94814815
0.761061946903,0.761061946903,86.7610619469,10.0884955752,69.6017699115,94.3274336283,163.92920354,22.7787610619,144.814159292,1,2639.86725664
0.292207792208,0.292207792208,86.2922077922,6.33766233766,86.4805194805,91.0454545455,177.525974026,32.1558441558,173.883116883,1,2751.45454545
1.39772727273,2.73484848485,85.7348484848,17.5303030303,297.113636364,116.348484848,413.462121212,32.6742424242,406.147727273,1.86742424242,8463.10606061
139/40,27/20,1687/20,203/10,773/4,205/2,1183/4,103/4,2169/8,47/40,49539/10

0.316326530612,-0.525510204082,84.6326530612,18.9948979592,136.943877551,128.132653061,265.076530612,24.5306122449,234.719387755,2.15816326531,3420.64285714
39/20,77/40,879/10,139/40,5053/40,1027/20,7107/40,188/5,1453/8,119/40,2933/4

1.56603773585,0.783018867925,86,15.179245283,185.905660377,124.481132075,310.386792453,33.9150943396,306.91509434,1,6076.26415094
0.347368421053,0.173684210526,86,7.25789473684,196.873684211,120.215789474,317.089473684,30.8684210526,303.868421053,1,4327.47368421
1.79261363636,1.79261363636,86.2642045455,11.2073863636,86.4403409091,103.017045455,189.457386364,19.6619318182,165.460227273,2.26420454545,3052.21875
3.53333333333,3.53333333333,86.8444444444,9.46666666667,155.488888889,83.2888888889,238.777777778,36.4888888889,245.533333333,2.84444444444,2560.75555556
2.56862745098,3.21568627451,87.568627451,14.2745098039,256.058823529,156.862745098,412.921568627,47.9019607843,471.235294118,1.78431372549,7172.80392157
1.41025641026,3.79487179487,86.4102564103,9.64102564103,132.692307692,188.717948718,321.41025641,36.8974358974,332.230769231,1.20512820513,4817.25641026
1,1,952/11,126/11,1200/11,1018/11,2218/11,259/11,178,19/11,29930/11

